Don Quixote; Miguel De Cervantes
Pilgrim's Progress; John Bunyan
Robinson Crusoe; Daniel Defoe
Gulliver's Travels; Jonathan Swift
Tom Jones; Henry Fielding
Clarissa; Samuel Richardson
Tristram Shandy; Laurence Sterne
Dangerous Liaisons; Pierre Choderlos De Laclos
Emma; Jane Austen
Frankenstein; Mary Shelley
Nightmare Abbey; Thomas Love Peacock
The Black Sheep; Honoré De Balzac
The Charterhouse of Parma; Stendhal
he Count of Monte Cristo; Alexandre Dumas
ybil; Benjamin Disraeli
David Copperfield; Charles Dickens
Wuthering Heights; Emily Brontë
Jane Eyre; Charlotte Brontë
Vanity Fair; William Makepeace Thackeray
The Scarlet Letter; Nathaniel Hawthorne
Moby-Dick; Herman Melville
A Passage to India; EM Forster
The Great Gatsby; F. Scott Fitzgerald
The Trial; Franz Kafka
Men Without Women; Ernest Hemingway
Journey to the End of the Night; Louis-Ferdinand Celine
As I Lay Dying; William Faulkner
Brave New World; Aldous Huxley
Scoop; Evelyn Waugh
USA; John Dos Passos
The Big Sleep; Raymond Chandler
The Pursuit Of Love; Nancy Mitford
The Plague; Albert Camus
Nineteen Eighty-Four; George Orwell
Malone Dies; Samuel Beckett
Catcher in the Rye; J.D. Salinger
Wise Blood; Flannery O'Connor
Charlotte's Web; EB White
The Lord Of The Rings; J. R. R. Tolkien
Lucky Jim; Kingsley Amis
Lord of the Flies; William Golding
The Quiet American; Graham Greene
On the Road; Jack Kerouac
Lolita; Vladimir Nabokov
The Tin Drum; Günter Grass
Things Fall Apart; Chinua Achebe
The Prime of Miss Jean; Brodie Muriel Spark
To Kill A Mockingbird; Harper Lee
Catch-22; Joseph Heller
Herzog; Saul Bellow
One Hundred Years of Solitude; Gabriel García Márquez
Mrs Palfrey at the Claremont; Elizabeth Taylor
Tinker Tailor Soldier Spy; John Le Carré
Song of Solomon; Toni Morrison
The Bottle Factory Outing; Beryl Bainbridge
